Date,Adj Close
18/05/2015,29.626036
19/05/2015,29.598734
20/05/2015,29.596455
21/05/2015,29.899111
22/05/2015,30.160797
26/05/2015,29.496326
27/05/2015,30.047024
28/05/2015,29.987862
29/05/2015,29.646517
01/06/2015,29.705683
02/06/2015,29.5737
03/06/2015,29.610104
04/06/2015,29.43717
05/06/2015,29.275581
08/06/2015,29.082169
09/06/2015,28.995693
10/06/2015,29.32794
11/06/2015,29.261936
12/06/2015,28.938803
15/06/2015,28.881912
16/06/2015,29.036652
17/06/2015,28.968391
18/06/2015,29.100372
19/06/2015,28.809095
22/06/2015,29.038931
23/06/2015,28.906952
24/06/2015,29.152718
25/06/2015,29.013897
26/06/2015,28.843227
29/06/2015,28.338055
30/06/2015,28.542847
01/07/2015,28.809095
02/07/2015,28.772688
06/07/2015,28.672565
07/07/2015,28.602018
08/07/2015,27.892027
09/07/2015,27.323128
10/07/2015,28.053602
13/07/2015,28.595188
14/07/2015,28.583811
15/07/2015,28.859158
16/07/2015,29.243734
17/07/2015,29.496326
20/07/2015,30.053848
21/07/2015,29.753471
22/07/2015,28.495064
23/07/2015,28.481407
24/07/2015,28.331219
27/07/2015,27.937542
28/07/2015,28.076351
29/07/2015,27.98761
30/07/2015,27.846521
31/07/2015,27.603031
03/08/2015,26.952208
04/08/2015,26.087473
05/08/2015,26.260422
06/08/2015,26.31757
07/08/2015,26.406721
10/08/2015,27.366798
11/08/2015,25.942686
12/08/2015,26.342716
13/08/2015,26.322144
14/08/2015,26.507305
17/08/2015,26.781614
18/08/2015,26.630743
19/08/2015,26.29014
20/08/2015,25.750671
21/08/2015,24.175678
24/08/2015,23.572206
25/08/2015,23.713926
26/08/2015,25.074041
27/08/2015,25.812386
28/08/2015,25.896963
31/08/2015,25.775814
01/09/2015,24.623716
02/09/2015,25.67981
03/09/2015,25.229475
04/09/2015,24.978037
08/09/2015,25.672951
09/09/2015,25.179195
10/09/2015,25.732382
11/09/2015,26.107265
14/09/2015,26.358719
15/09/2015,26.58045
16/09/2015,26.610165
17/09/2015,26.040977
18/09/2015,25.93354
21/09/2015,26.335859
22/09/2015,25.922106
23/09/2015,26.132418
24/09/2015,26.287857
25/09/2015,26.221561
28/09/2015,25.702665
29/09/2015,24.930029
30/09/2015,25.21348
01/10/2015,25.048899
02/10/2015,25.23177
05/10/2015,25.323202
06/10/2015,25.444363
07/10/2015,25.323202
08/10/2015,25.030613
09/10/2015,25.629517
